50m*,100m*,150m,180m,200m,50-100m,100-150m,150-200m,180-200m,50-150m,100-200m
5.86,10.43,15.12,18.11,20.17,4.57,4.69,5.05,2.06,9.26,9.74
5.89,10.48,15.14,18.11,20.17,4.59,4.66,5.03,2.06,9.25,9.69
,10.3,,,20.17,,,,,,9.87
5.74,10.29,15.01,18.05,20.17,4.55,4.72,5.16,2.12,9.27,9.88
,10.63,,,20.17,,,,,,9.54
,10.56,,,20.17,,,,,,9.61
,10.48,,,20.17,,,,,,9.69
5.76,10.26,15,18.05,20.17,4.5,4.74,5.17,2.12,9.24,9.91
5.89,10.53,15.21,18.16,20.18,4.64,4.68,4.97,2.02,9.32,9.65
,10.43,,,20.18,,,,,,9.75
5.79,10.37,15.09,18.1,20.18,4.58,4.72,5.09,2.08,9.3,9.81
5.96,10.45,15.19,18.15,20.18,4.49,4.74,4.99,2.03,9.23,9.73
5.97,10.53,15.2,18.15,20.18,4.56,4.67,4.98,2.03,9.23,9.65
5.92,10.46,15.03,18.05,20.18,4.54,4.57,5.15,2.13,9.11,9.72
5.9,10.5,15.2,18.15,20.18,4.6,4.7,4.98,2.03,9.3,9.68
5.8,10.4,15.1,18.1,20.18,4.6,4.7,5.08,2.08,9.3,9.78
,10.56,,,20.18,,,,,,9.62
,10.38,,,20.18,,,,,,9.8
5.9,10.38,15.1,18.1,20.18,4.48,4.72,5.08,2.08,9.2,9.8
5.9,10.42,15.17,18.14,20.18,4.52,4.75,5.01,2.04,9.27,9.76
5.97,10.53,15.21,18.16,20.18,4.56,4.68,4.97,2.02,9.24,9.65
5.66,10.3,15.06,18.09,20.18,4.64,4.76,5.12,2.09,9.4,9.88
,10.41,15.13,18.13,20.19,,4.72,5.06,2.06,,9.78
,10.6,,,20.19,,,,,,9.59
5.69,10.28,15.06,18.1,20.19,4.59,4.78,5.13,2.09,9.37,9.91
